#proteinId,iprId,iprDesc,domainDb,domainId,domainDesc,numHits,domainStarts,domainEnds,score
1,IPR002529,"Fumarylacetoacetase, C-terminal",HMMPfam,PF01557,Fumarylacetoacetate (FAA) hydrolase family,1,"567,","779,",6.80E-57
1,IPR000073,Alpha/beta hydrolase fold-1,HMMPfam,PF12697,Alpha/beta hydrolase family,1,"831,","1069,",2.80E-35
1,\N,\N,HMMPfam,PF13594,Amidohydrolase,1,"92,","169,",6.10E-08
1,IPR000073,Alpha/beta hydrolase fold-1,PRINTS,PR00111,Alpha/beta hydrolase fold signature,4,"856,901,915,1020,","871,914,928,1034,","4.0E-9,4.0E-9,4.0E-9,4.0E-9"
1,IPR011059,"Metal-dependent hydrolase, composite domain",SUPERFAMILY,SSF51338,\N,2,"62,432,","130,475,","9.77E-17,9.77E-17"
1,\N,\N,SUPERFAMILY,SSF51556,\N,1,"130,","428,",2.44E-62
1,IPR029058,Alpha/Beta hydrolase fold,SUPERFAMILY,SSF53474,\N,1,"817,","1074,",7.22E-47
1,IPR011234,"Fumarylacetoacetase, C-terminal-related",SUPERFAMILY,SSF56529,\N,1,"564,","780,",3.40E-65
2,IPR001138,Zn(2)-C6 fungal-type DNA-binding domain,HMMPfam,PF00172,Fungal Zn(2)-Cys(6) binuclear cluster domain,1,"25,","61,",1.60E-05
2,IPR007219,"Transcription factor domain, fungi",HMMPfam,PF04082,Fungal specific transcription factor domain,1,"164,","348,",6.80E-16
2,IPR001138,Zn(2)-C6 fungal-type DNA-binding domain,ProSitePatterns,PS00463,Zn(2)-C6 fungal-type DNA-binding domain signature.,1,"26,","53,",-
2,IPR001138,Zn(2)-C6 fungal-type DNA-binding domain,ProSiteProfiles,PS50048,Zn(2)-C6 fungal-type DNA-binding domain profile.,1,"26,","55,",9.864
