#transcriptId,proteinId,kogid,kogdefline,kogClass,kogGroup
37,37,KOG0335,ATP-dependent RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
135,135,KOG2809,Telomerase elongation inhibitor/RNA maturation protein PINX1,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
220,220,KOG1783,Small nuclear ribonucleoprotein F,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
227,227,KOG0319,WD40-repeat-containing subunit of the 18S rRNA processing complex,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
231,231,KOG0299,U3 snoRNP-associated protein (contains WD40 repeats),RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
298,298,KOG1775,U6 snRNA-associated Sm-like protein,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
471,471,KOG2481,Protein required for normal rRNA processing,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
505,505,KOG0340,ATP-dependent RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
594,594,KOG1258,mRNA processing protein,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
596,596,KOG0333,U5 snRNP-like RNA helicase subunit,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
666,666,KOG0335,ATP-dependent RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
683,683,KOG2793,"Putative N2,N2-dimethylguanosine tRNA methyltransferase",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
705,705,KOG2190,PolyC-binding proteins alphaCP-1 and related KH domain proteins,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
737,737,KOG2777,tRNA-specific adenosine deaminase 1,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
766,766,KOG1902,Putative signal transduction protein involved in RNA splicing,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
769,769,KOG4206,Spliceosomal protein snRNP-U1A/U2B,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
810,810,KOG3459,Small nuclear ribonucleoprotein (snRNP) Sm core protein,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
812,812,KOG0920,ATP-dependent RNA helicase A,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
882,882,KOG3080,Nucleolar protein-like/EBNA1-binding protein,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
889,889,KOG1446,"Histone H3 (Lys4) methyltransferase complex and RNA cleavage factor II complex, subunit SWD2",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
906,906,KOG2937,"Decapping enzyme complex, predicted pyrophosphatase DCP2",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
930,930,KOG1919,RNA pseudouridylate synthases,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
938,938,KOG3414,Component of the U4/U6.U5 snRNP/mitosis protein DIM1,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
941,941,KOG3460,Small nuclear ribonucleoprotein (snRNP) LSM3,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
975,975,KOG2217,U4/U6.U5 snRNP associated protein,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1014,1014,KOG0285,Pleiotropic regulator 1,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1041,1041,KOG0953,"Mitochondrial RNA helicase SUV3, DEAD-box superfamily",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1043,1043,KOG0922,DEAH-box RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1048,1048,KOG0337,ATP-dependent RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1078,1078,KOG0925,mRNA splicing factor ATP-dependent RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
