#proteinId,ecNum,definition,catalyticActivity,cofactors,associatedDiseases,pathway,pathway_class,pathway_type
6,4.4.1.14,1-aminocyclopropane-1-carboxylate synthase.,S-adenosyl-L-methionine = 1-aminocyclopropane-1-carboxylate + methylthioadenosine.,Pyridoxal-phosphate.,\N,Propanoate metabolism,Carbohydrate Metabolism,METABOLIC
9,3.5.99.5,2-aminomuconate deaminase.,2-aminomuconate + H(2)O = 4-oxalocrotonate + NH(3).,\N,\N,Tryptophan metabolism,Amino Acid Metabolism,METABOLIC
22,2.1.1.33,tRNA (guanine-N7-)-methyltransferase.,S-adenosyl-L-methionine + tRNA = S-adenosyl-L-homocysteine + tRNA containing N7-methylguanine.,\N,\N,\N,\N,\N
23,3.1.13.-,Exoribonucleases producing 5'-phosphomonoesters.,\N,\N,\N,\N,\N,\N
25,3.1.1.5,Lysophospholipase.,2-lysophosphatidylcholine + H(2)O = glycerophosphocholine + a fatty acid anion.,\N,\N,Phospholipid degradation,Metabolism of Complex Lipids,METABOLIC
30,6.1.1.10,Methionine--tRNA ligase.,ATP + L-methionine + tRNA(Met) = AMP + diphosphate + L-methionyl- tRNA(Met).,\N,\N,  Aminoacyl-tRNA biosynthesis,TRANSLATION,REGULATORY
30,6.1.1.10,Methionine--tRNA ligase.,ATP + L-methionine + tRNA(Met) = AMP + diphosphate + L-methionyl- tRNA(Met).,\N,\N,Methionine metabolism,Amino Acid Metabolism,METABOLIC
30,6.1.1.10,Methionine--tRNA ligase.,ATP + L-methionine + tRNA(Met) = AMP + diphosphate + L-methionyl- tRNA(Met).,\N,\N,Selenoamino acid metabolism,Metabolism of Other Amino Acids,METABOLIC
35,5.2.1.8,Peptidylprolyl isomerase.,Peptidylproline (omega=180) = peptidylproline (omega=0).,\N,\N,\N,\N,\N
39,1.8.3.2,Thiol oxidase.,4 R'C(R)SH + O(2) = 2 R'C(R)S-S(R)CR' + 2 H(2)O.,\N,\N,\N,\N,\N
40,2.6.1.42,Branched-chain amino acid aminotransferase.,L-leucine + 2-oxoglutarate = 4-methyl-2-oxopentanoate + L-glutamate.,Pyridoxal-phosphate.,\N,"Valine, leucine and isoleucine biosynthesis",Amino Acid Metabolism,METABOLIC
40,2.6.1.42,Branched-chain amino acid aminotransferase.,L-leucine + 2-oxoglutarate = 4-methyl-2-oxopentanoate + L-glutamate.,Pyridoxal-phosphate.,\N,"Valine, leucine and isoleucine degradation",Amino Acid Metabolism,METABOLIC
40,2.6.1.42,Branched-chain amino acid aminotransferase.,L-leucine + 2-oxoglutarate = 4-methyl-2-oxopentanoate + L-glutamate.,Pyridoxal-phosphate.,\N,Pantothenate and CoA biosynthesis,Metabolism of Cofactors and Vitamins,METABOLIC
58,2.7.1.40,Pyruvate kinase.,ATP + pyruvate = ADP + phosphoenolpyruvate.,\N,Hemolytic anemia due to pyruvate kinase deficiency; MIM:266200.,Purine metabolism,Nucleotide Metabolism,METABOLIC
